Designator,Mid X,Mid Y,Rotation,Layer
C1,165.2,-100.7,90.0,top
C10,215.8,-105.8,90.0,top
C11,216.7,-105.8,90.0,top
C12,211.8,-109.0,0.0,top
C13,235.4,-100.7,90.0,top
C14,239.2,-105.8,90.0,top
C15,240.1,-105.8,90.0,top
C16,235.2,-109.0,0.0,top
C17,165.2,-124.1,90.0,top
C18,169.0,-129.2,90.0,top
C19,169.9,-129.2,90.0,top
C2,169.0,-105.8,90.0,top
C20,165.0,-132.4,0.0,top
C21,188.6,-124.1,90.0,top
C22,192.4,-129.2,90.0,top
C23,193.3,-129.2,90.0,top
C24,188.4,-132.4,0.0,top
C25,212.0,-124.1,90.0,top
C26,215.8,-129.2,90.0,top
C27,216.7,-129.2,90.0,top
C28,211.8,-132.4,0.0,top
C29,235.4,-124.1,90.0,top
C3,169.9,-105.8,90.0,top
C30,239.2,-129.2,90.0,top
C31,240.1,-129.2,90.0,top
C32,235.2,-132.4,0.0,top
C33,165.2,-147.5,90.0,top
C34,169.0,-152.6,90.0,top
C35,169.9,-152.6,90.0,top
C36,165.0,-155.8,0.0,top
C37,188.6,-147.5,90.0,top
C38,192.4,-152.6,90.0,top
C39,193.3,-152.6,90.0,top
C4,165.0,-109.0,0.0,top
C40,188.4,-155.8,0.0,top
C41,212.0,-147.5,90.0,top
C42,215.8,-152.6,90.0,top
C43,216.7,-152.6,90.0,top
C44,211.8,-155.8,0.0,top
C45,235.4,-147.5,90.0,top
C46,239.2,-152.6,90.0,top
C47,240.1,-152.6,90.0,top
C48,235.2,-155.8,0.0,top
C49,165.2,-170.9,90.0,top
C5,188.6,-100.7,90.0,top
C50,169.0,-176.0,90.0,top
C51,169.9,-176.0,90.0,top
C52,165.0,-179.2,0.0,top
C53,188.6,-170.9,90.0,top
C54,192.4,-176.0,90.0,top
C55,193.3,-176.0,90.0,top
C56,188.4,-179.2,0.0,top
C57,212.0,-170.9,90.0,top
C58,215.8,-176.0,90.0,top
